""	"Raw"	"Qual_filter"	"Derep"	"ASVs.R1"	"ASVs.R2"	"Merged"	"nonchim"	"percentage_used"
"DR1014-E"	74259	69485	71866	71828	71810	70745	69692	93.8499037153746
"DR1014-SAH"	102022	90294	96141	84103	90441	53503	50738	49.7324106565251
"DR1015-SAH"	77866	70526	74669	64888	70431	40264	37728	48.4524696273085
"DR1018-E"	30083	27611	28821	28225	28311	25800	25126	83.5222550942393
"DR1018-SAH"	96253	85713	91397	79266	86002	48908	45689	47.4676113991252
"DR1019-E"	61699	55554	58407	57505	57839	53629	53007	85.9122514141234
"DR1019-SAH"	84601	76162	80500	69698	75574	42741	40372	47.7204761173036
"DR1020-SAH"	82918	73877	78610	68508	74139	43320	40952	49.3885525458887
"DR1021-SAH"	95688	85495	91179	80618	86673	52772	49643	51.8800685561408
"DR1025-E"	60079	54284	57243	56719	56849	53010	52313	87.0736863130212
"DR1025-SAH"	103503	93228	98658	86667	93530	55817	52580	50.8004598900515
"DR1027-E"	70865	63863	66954	66573	66621	63500	62615	88.3581457701263
"DR1027-H"	117705	105087	111529	103816	108073	79448	75395	64.0542033048723
"DR1027-SAH"	86623	78323	82826	72536	78009	45727	43291	49.9763342299389
"DR1028-SAH"	78203	68370	73733	63098	68805	38099	35723	45.6798332544787
"DR1029-SAH"	84462	75007	79778	69965	75456	46018	43516	51.5213942364614
"DR1030-E"	79486	73953	76167	75496	75699	72142	62193	78.2439674911305
"DR1030-SAH"	79146	70856	75112	64413	70332	38540	36250	45.8014302681121
"DR1034-SAH"	79703	71532	75770	63894	70885	37553	34866	43.7449029522101
"DR1035-E"	82656	74955	78882	74480	76720	59306	52623	63.6650696864111
"DR1035-H"	97628	87513	92716	89394	91002	78807	75672	77.5105502519769
"DR1035-SAH"	89752	80316	85295	73506	79911	44190	40944	45.6190391300472
"DR1036-SAH"	73335	62813	68282	57737	63389	32656	30533	41.6349628417536
"DR1038-A-SAH"	83051	74134	79118	67485	74128	40119	37610	45.2854270267667
"DR1038-SAH"	79479	72208	76159	64075	70772	35901	33338	41.9456711835831
"DR1039-SAH"	74913	66640	70828	59347	65723	33771	31393	41.9059442286386
"DR1040-SAH"	79060	72787	75921	70032	72878	49013	39527	49.9962054136099
"DR1041-E"	71228	66217	68318	67766	67925	64715	52270	73.3840624473522
"DR1041-H"	92386	85658	88863	86858	87814	78080	72938	78.9491914359319
"DR1041-SAH"	69740	63331	66309	60236	63553	40105	34954	50.1204473759679
"DR1042-E"	84493	78590	81381	80095	80456	73909	59004	69.8330039174843
"DR1042-H"	119327	109237	113969	108855	111265	86912	65896	55.2230425637115
"DR1042-SAH"	101158	91757	96192	87592	92150	60515	50694	50.1136835445541
"DR1043-E"	83430	76346	79676	78302	78889	72160	65580	78.6048184106436
"DR1043-H"	86922	79141	82752	82021	82338	78758	76520	88.0329490807851
"DR1043-SAH"	76554	69867	72963	65313	69359	43026	36155	47.2281004258432
"DR1044-E"	84535	78870	81403	80183	80929	74847	45218	53.4902703022417
"DR1044-SAH"	78015	69375	73470	67726	70808	46561	38616	49.4981734281869
"DR1045-E"	70410	65835	67877	67481	67599	65476	57111	81.1120579463144
"DR1045-H"	76627	70896	73766	72603	73130	67985	62243	81.2285486838843
"DR1045-SAH"	86374	77157	81847	72295	77191	45605	40285	46.6401926505661
"DR1046-E"	73618	66833	69652	68664	68929	63051	52354	71.1157597326741
"DR1046-H"	76732	70320	73469	72427	72849	67957	65929	85.9211280821561
"DR1046-SAH"	85568	77817	81550	73081	77428	47948	41830	48.8850972326103
"DR1047-E"	77099	69784	73343	72143	72487	66880	64608	83.798752253596
"DR1047-H"	75708	68903	72200	71650	71809	68797	67154	88.7013261478311
"DR1047-SAH"	81694	74064	77984	69845	74203	47186	40407	49.4614047543271
"DR1048-E"	84169	77760	80535	79884	80112	75248	60235	71.5643526714111
"DR1048-H"	79244	72665	75978	74909	75359	69007	61833	78.0286204633789
"DR1048-SAH"	97620	89313	93372	86591	90420	61080	53104	54.3986887932801
"DR1049-E"	112428	102945	107516	102765	105098	83994	71099	63.239584445156
"DR1049-H"	104387	93899	99214	89652	94672	62086	55197	52.8772739900562
"DR1049-SAH"	88374	79617	84023	73282	79005	46810	42069	47.6033675062801
"E-1"	109284	91826	100252	98537	99366	89712	84799	77.5950733867721
"E-10"	194536	171957	181943	179572	181227	173881	150840	77.538347658017
"E-2"	105228	91559	98132	97484	97656	93937	92411	87.8197818071236
"E-3"	137454	114164	125692	125292	125346	122091	120791	87.8773989843875
"E-4"	194443	175184	183309	182794	182881	180949	179495	92.3124000349717
"E-5"	112021	101377	106286	105650	105893	101008	96969	86.5632336793994
"E-6"	122869	112552	116750	116060	116398	112600	95379	77.6265779000399
"E-7"	120598	107973	113642	112435	113243	108946	100522	83.3529577604935
"E-8"	116391	102085	108862	105939	107209	93486	89626	77.0042357226933
"E-9"	157840	141711	149213	147389	148107	138322	118106	74.8264064875824
"H-1"	187083	164571	175264	167636	171488	135355	115628	61.8057225937151
"H-10"	206937	188615	196561	195301	195834	188087	130329	62.9800374026878
"H-2"	198576	174738	185537	177979	181879	142504	114665	57.7436346789139
"H-3"	80112	68895	74051	70311	72097	55821	52127	65.0676552826043
"H-4"	128375	116353	121780	119119	120261	106288	94715	73.7799415774099
"H-5"	126681	112250	118838	116576	117563	104541	85942	67.8412705930645
"H-6"	149952	132599	140923	134014	137508	104201	86266	57.5290759709774
"H-7"	155374	138512	146149	141603	143888	120241	101667	65.4337276507009
"H-8"	154418	132679	143331	137476	140222	114505	105418	68.2679480371459
"H-9"	147363	130915	137955	135904	136911	125117	108692	73.7579989549616
"SAH-1"	156686	138787	147542	139765	143322	109652	96003	61.2709495423969
"SAH-10"	160769	137665	149157	141741	145237	111827	89273	55.5287399934067
"SAH-2"	196750	173466	184291	172762	178723	128869	105439	53.5903430749682
"SAH-3"	135770	108368	121982	115405	118374	90185	84830	62.4806658319216
"SAH-4"	166082	145565	155022	147371	151058	115598	102238	61.5587480882937
"SAH-5"	172976	153557	162447	153609	158147	119862	96221	55.6267921561373
"SAH-6"	150287	129531	139746	131882	135704	100445	88900	59.1534863294896
"SAH-7"	142126	114702	128482	119984	123985	87950	81506	57.3477055570409
"SAH-8"	191365	162898	176897	160964	168880	107934	99624	52.0596765343715
"SAH-9"	145762	128310	136762	126209	131141	88892	76263	52.3202206336356
